datetime,row,e_invoice_number,sales_date,quantity_sold_mt,registration_type,entity_name,seller_gst,buyer_gst,epr_invoice_number,status,message,datetime,message
2026-04-24T10:22:21.754Z,2,IN0525000012,Wed Apr 02 2025 05:30:00 GMT+0530 (India Standard Time),18,Registered,CREATIVE PROPACK LIMITED,05AAACE0119K1Z3,18AAACE6761H1ZJ,,Failed: Missing option for Registration Type,,2026-04-24T13:30:46.463Z,Missing option for Registration Type
2026-04-24T10:47:11.540Z,2,IN0525000012,Wed Apr 02 2025 05:30:00 GMT+0530 (India Standard Time),18,Registered,CREATIVE PROPACK LIMITED,05AAACE0119K1Z3,18AAACE6761H1ZJ,,Failed: Missing option for Registration Type,,2026-04-24T13:30:59.714Z,Missing option for Registration Type
